Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.0532120795670072,-0.374003969694227,0.252061126858735,0,0,0,8.14405628857651,0.106231881778293,4.51975186152462E-07,0.00640483465560188,0.167224518849886,-6.2093968636767E-06,0.250106019697396,0,0,0,0,0,0,package://roverv6_2/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverv6_2/meshes/base.STL,,base-1;link1-1;suspension-1;link2-1;rod1-1;rod1-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.0815715751652E-08,0.0978499673015693,-0.0743958681037937,0,0,0,0.498179095837696,0.00407474322597775,-1.34392146919513E-09,-2.58091705611837E-10,0.00186808359358825,-0.00142064061419686,0.00241423152562424,0,0,0,0,0,0,package://roverv6_2/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://roverv6_2/meshes/link1.STL,,link11-1,Origin_joint1,Axis11 <link1-1>,joint1,revolute,-0.397140001633047,-0.652332061686518,-0.00399252714157018,1.57071605221325,-0.0100525390183488,0.00798546788536873,base,0.0100951957369197,-0.999949038963815,8.06125014181512E-05,300,3,-1.57,1.57,,,,,,,,
link11,0.006533411313143,0.00458592216589021,-0.039098794497154,0,0,0,0.89146941998421,0.00350946883972338,4.7347647545908E-07,9.47395424957472E-06,0.00351009412241423,1.22865988058591E-07,0.00597899558232848,0,0,0,0,0,0,package://roverv6_2/meshes/link11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverv6_2/meshes/link11.STL,,link111-1,Origin_joint11,Axis111 <link11-1>,joint11,revolute,0,0.01,0,5.05194857656171E-05,-0.00383631516521105,-2.17095997613858,link1,-0.00383630575517578,-5.05191139858856E-05,-0.999992640075902,300,3,-3.14,3.14,,,,,,,,
link2,-4.05129637615076E-08,0.0982285067714575,-0.0743958682713068,0,0,0,0.498179091805055,0.00407474320594312,-1.3373585711491E-09,-2.57330303949971E-10,0.00186808358864903,-0.00142064061815577,0.0024142314989147,0,0,0,0,0,0,package://roverv6_2/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://roverv6_2/meshes/link2.STL,,link21-1,Origin_joint2,Axis22 <link2-1>,joint2,revolute,-0.3949982138244,-0.096832061686517,-0.00119783636687578,1.5707034511472,0.00303107897986546,3.11096107298273,base,0.0118963875202142,-0.999929169036971,-0.000364517493005725,300,3,-3.14,3.14,,,,,,,,
link22,0.00531657387050027,-0.00544224312171682,-0.0390936198047614,0,0,0,0.891469420630642,0.00350946884143914,4.73476485911379E-07,9.47395224811821E-06,0.00351009412440556,1.22867144828283E-07,0.00597899558542636,0,0,0,0,0,0,package://roverv6_2/meshes/link22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverv6_2/meshes/link22.STL,,link211-1,Origin_joint22,Axis221 <link22-1>,joint22,revolute,0,0.01,0,5.05194857639483E-05,-0.00383631516521564,-0.786838682488123,link2,-0.0121201676211669,-0.00835860239971336,-0.999891611777376,300,3,-3.14,3.14,,,,,,,,
link3,-4.06909475003658E-08,0.0978499675373262,-0.0743958682053536,0,0,0,0.498179094382818,0.00407474321636083,-1.34114422995637E-09,-2.58170672658836E-10,0.00186808359117778,-0.00142064061689953,0.00241423151361537,0,0,0,0,0,0,package://roverv6_2/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://roverv6_2/meshes/link3.STL,,link12-1,Origin_joint3,Axis12 <link1-1>,joint3,revolute,0.502814521756893,-0.637332061686518,0.00505489403488414,1.57102457132241,-0.0100502681901724,-0.0227067716183839,base,0.0100929153497641,-0.999949038963814,-0.00022920533748851,300,3,-3.14,3.14,,,,,,,,
link31,-0.00823963436812794,-0.000454914762532677,-0.0390418655819643,0,0,0,0.891469420303922,0.00350946884043217,4.73476593599215E-07,9.47395532094989E-06,0.0035100941229201,1.22866215891194E-07,0.00597899558329575,0,0,0,0,0,0,package://roverv6_2/meshes/link31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverv6_2/meshes/link31.STL,,link121-1,Origin_joint31,Axis121 <link121-1>,joint31,revolute,0,0.01,0,5.05194857625571E-05,-0.00383631516521475,1.51330341179766,link3,-0.00383630575520498,-5.05191140307941E-05,-0.999992640075901,300,3,-3.14,3.14,,,,,,,,
link4,-4.06230458160906E-08,0.0982285065661503,-0.0743958681863934,0,0,0,0.49817909304652,0.0040747432141479,-1.33970704814334E-09,-2.57366707826846E-10,0.00186808359052598,-0.00142064061602138,0.00241423150946813,0,0,0,0,0,0,package://roverv6_2/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://roverv6_2/meshes/link4.STL,,link22-1,Origin_joint4,Axis21 <link2-1>,joint4,revolute,0.504997647949237,-0.111832061686519,0.00153141084371881,1.57073901985094,0.00303196002049882,3.12269391856691,base,0.0118998454204542,-0.999929169036971,-0.000224917769367382,300,3,-3.14,3.14,,,,,,,,
link41,-0.00528531658007064,-0.00575886757183902,-0.0390529313975927,0,0,0,0.891469420642809,0.00350946884162752,4.73476534162729E-07,9.47395064175893E-06,0.00351009412494827,1.22866794911024E-07,0.00597899558609281,0,0,0,0,0,0,package://roverv6_2/meshes/link41.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverv6_2/meshes/link41.STL,,link221-1,Origin_joint41,Axis222 <link221-1>,joint41,revolute,0,0.01,0,5.0519E-05,-0.0038363,0.72713,link4,-0.0038363,-5.0519E-05,-0.99999,300,3,-3.14,3.14,,,,,,,,
